transaction_id_raw,payer_id,payer_id_type,payee_id_type,status_name,created_at,product_id,paid_total_value,paid_credit_card_value,paid_balance_value,received_cashback_value
1,43102,CONSUMER,BIZ,Erro,2020-12-29 21:06:04,2,3624.23,0.0,"3624,23",0
2,18448,CONSUMER,USER,Aprovado,2020-10-27 19:13:05,1,248.0,0.0,248,0
3,44127,CONSUMER,USER,Aprovado,2020-10-05 20:03:48,1,4412.0,4412.0,0,0
4,60626,CONSUMER,USER,Não Autorizado,2020-04-01 19:37:59,7,4638.74,0.0,"4638,74",0
5,43152,CONSUMER,USER,Aprovado,2020-11-12 05:34:31,7,1303.0,209.21,"1093,79",0
6,44595,CONSUMER,USER,Aprovado,2020-09-07 10:29:56,1,572.62,572.62,0,0
7,94078,CONSUMER,USER,Não Autorizado,2020-11-23 02:22:21,7,4871.0,4055.36,"815,64",0
8,61260,CONSUMER,USER,Erro,2020-07-29 13:01:19,7,2186.0,2186.0,0,0
9,80514,CONSUMER,USER,Não Autorizado,2020-11-12 14:56:05,7,4781.9,3860.2,"921,7",0
10,8862,CONSUMER,BIZ,Aprovado,2020-09-19 21:16:41,6,2910.87,1662.0,"1248,87",0
11,83795,CONSUMER,BIZ,Aprovado,2020-11-01 21:08:01,2,4141.0,3677.84,"463,16",10
12,32278,CONSUMER,BIZ,Aprovado,2020-12-23 11:39:50,3,3178.09,3178.09,0,0
13,7119,CONSUMER,USER,Aprovado,2020-11-20 13:53:36,1,1448.23,0.0,"1448,23",0
14,85469,CONSUMER,USER,Aprovado,2020-10-05 02:47:15,7,993.0,0.0,993,0
15,25844,CONSUMER,BIZ,Aprovado,2020-12-18 04:45:21,6,2218.09,0.0,"2218,09",10
16,57049,CONSUMER,USER,Não Autorizado,2020-11-04 08:18:05,1,1747.0,1747.0,0,0
17,34979,CONSUMER,USER,Aprovado,2020-10-28 23:48:32,7,4051.71,0.0,"4051,71",0
18,34565,CONSUMER,BIZ,Não Autorizado,2020-09-13 21:36:32,9,3950.79,3950.79,0,0
19,23481,CONSUMER,USER,Aprovado,2020-08-14 00:41:11,1,3279.49,3279.49,0,0
20,90901,CONSUMER,USER,Aprovado,2020-05-13 01:24:02,7,4282.58,0.0,"4282,58",0
21,45646,CONSUMER,USER,Aprovado,2020-12-16 17:33:23,8,2376.0,0.0,2376,0
22,93119,CONSUMER,BIZ,Não Autorizado,2020-08-12 01:37:18,9,348.26,348.26,0,0
23,28829,CONSUMER,USER,Não Autorizado,2020-07-21 18:52:03,7,1270.0,811.38,"458,62",0
24,979,CONSUMER,USER,Aprovado,2020-11-27 08:16:17,1,4792.02,0.0,"4792,02",0
25,4797,CONSUMER,USER,Aprovado,2020-05-30 21:19:37,1,3108.17,3108.17,0,0
26,75379,CONSUMER,USER,Erro,2020-09-08 23:58:18,7,2662.0,2373.03,"288,97",0
27,95241,CONSUMER,USER,Não Autorizado,2020-12-28 22:09:28,1,3243.24,3243.24,0,0
28,41564,CONSUMER,USER,Erro,2020-09-13 01:50:54,1,3382.4,1311.61,"2070,79",0
29,89213,CONSUMER,BIZ,Aprovado,2020-07-16 00:20:13,6,2311.76,2311.76,0,0
30,30030,CONSUMER,USER,Não Autorizado,2020-12-02 17:47:37,1,751.07,751.07,0,0
31,75862,CONSUMER,USER,Aprovado,2020-12-21 10:16:58,1,4659.03,0.0,"4659,03",0
32,63594,CONSUMER,BIZ,Erro,2020-04-23 09:47:32,2,882.82,571.89,"310,93",0
33,99399,CONSUMER,USER,Não Autorizado,2020-08-16 10:05:34,1,3203.54,3203.54,0,0
34,55627,CONSUMER,USER,Aprovado,2020-12-06 03:58:11,7,1143.0,600.78,"542,22",0
35,3402,CONSUMER,USER,Não Autorizado,2020-12-19 20:21:30,1,3738.0,3738.0,0,0
36,76586,CONSUMER,USER,Aprovado,2020-09-17 19:20:22,7,1114.0,1114.0,0,10
37,7353,CONSUMER,BIZ,Erro,2020-06-12 03:15:49,5,4918.66,857.13,"4061,53",0
38,18735,CONSUMER,USER,Erro,2020-12-14 19:38:32,1,143.0,0.0,143,0
